date,year,title,content,status,thumbnail_file,image_files
2009-02-24 19:51:45,2009,2009 전기 졸업식,2009년 전기 졸업식 모습 ,publish,2009/02/090219_Graduation_Ceremony_069.jpg,2009/02/090219-Graduation-Ceremony-001.jpg|2009/02/090219-Graduation-Ceremony-002.jpg|2009/02/090219-Graduation-Ceremony-003.jpg|2009/02/090219-Graduation-Ceremony-029.jpg|2009/02/090219-Graduation-Ceremony-040.jpg|2009/02/090219-Graduation-Ceremony-042.jpg|2009/02/090219-Graduation-Ceremony-044.jpg|2009/02/090219-Graduation-Ceremony-071.jpg|2009/02/090219-Graduation-Ceremony-078.jpg|2009/02/090219_Graduation_Ceremony_069.jpg
2009-02-02 19:49:41,2009,2009 John R. Barry 교수님 세미나 및 LIT 워크샵,"2009년 1월 30일,John R.Barry 교수님과 함께 세미나 및 LIT 워크샵을 가졌습니다.
",publish,2009/02/090130_Dr_Barry_06.jpg,2009/02/090130-017.jpg|2009/02/090130-020.jpg|2009/02/090130-022.jpg|2009/02/090130-028.jpg|2009/02/090130-029.jpg|2009/02/090130-032.jpg|2009/02/090130-048.jpg|2009/02/090130_003.jpg|2009/02/090130_004.jpg|2009/02/090130_Dr_Barry_05.jpg|2009/02/090130_Dr_Barry_06.jpg
2008-11-21 19:47:47,2008,2008 추계 한국통신학회,11월 15일 연세대학교에서 열린 한국통신학회 추계종합학술대회에 참가했습니다. ,publish,2008/11/Confer2008_03.jpg,2008/11/Confer2008_02.jpg|2008/11/Confer2008_03.jpg
2008-11-21 19:46:23,2008,2008 LIT 추계 워크샵,"연구실에서 10월 30일부터 11월 1일까지 2박 3일동안 강원도 속초로 워크샵을 다녀왔습니다.멀리까지 다녀와 피곤하지만, 재미있는 워크샵이었습니다. 
단체 사진들이 좀 재미없고, 초췌하고, 추리해 보이지만, 날씨가 추워서였어요(아마도). 
",publish,2008/11/re081030_LIT_workshop_seorak_19.jpg,2008/11/re081030_LIT_workshop_seorak_19.jpg|2008/11/re081030_LIT_workshop_seorak-20.jpg|2008/11/reDSC02129.jpg
2008-09-09 19:45:15,2008,2008 김재홍 입소,"방년 29세 김재홍 논산 훈련소 입소 ㅋㅋ
",publish,2008/09/KJH.jpg,2008/09/KJH.jpg
2008-08-21 19:43:48,2008,2008 후기 졸업식,"이번에 박사학위 받으신 김현국 선배님! 
축하드립니다~! 
",publish,2008/08/re_DSC02015.jpg,2008/08/re_DSC01997.jpg|2008/08/re_DSC02004.jpg|2008/08/re_DSC02015.jpg
2008-06-06 19:42:14,2008,2008 Home Coming Day,"2008년 5월 31일, 연구실 홈커밍데이 행사가 있었습니다. 
교수님, 졸업생, 재학생이 모여 뜻깊고 즐거운 시간을 보냈습니다.",publish,2008/06/2008_Home_coming_Day.jpg,2008/06/2008_Home_coming_Day.jpg
2008-04-21 19:40:12,2008,2008 LIT 춘계 워크샵,"2008년 4월 19일 
내장산 국립공원으로 춘계워크샵을 다녀왔습니다.
",publish,2008/04/workshop1.jpg,2008/04/workshop1.jpg
2008-02-18 19:38:11,2008,2008 전기 졸업식,"LIT 박사 1호 남식이 형과 
석사학위를 받으신 종훈이형 수철이형 
모두 축하드려요~! 
",publish,2008/02/080214_4.jpg,2008/02/080214_1.jpg|2008/02/080214_2.jpg|2008/02/080214_3.jpg|2008/02/080214_4.jpg|2008/02/080214_5.jpg|2008/02/080214_6.jpg|2008/02/080214_7.jpg
2008-01-31 19:36:36,2008,2008 태안봉사활동,태안으로 봉사활동 다녀왔습니다. ,publish,2008/01/080124_1.jpg,2008/01/080124_0.jpg|2008/01/080124_1.jpg|2008/01/080124_2.jpg|2008/01/080124_3.jpg|2008/01/080124_4.jpg|2008/01/080124_5.jpg|2008/01/080124_6.jpg|2008/01/080124_7.jpg|2008/01/080124_8.jpg|2008/01/080124_10.jpg
2007-10-10 19:35:08,2007,2007 LIT 추계 워크샵 (안면도),안면도로 워크샵을 가서 학교의 현상황과 발전방향 그리고 연구실의 발전방향에 대해서 생각해보고 친목을 도모하는 즐거운 워크샵이 되었습니다.,publish,2007/10/071008_LIT_workshop_101.jpg,2007/10/071008_LIT_workshop_04.jpg|2007/10/071008_LIT_workshop_101.jpg
